data: {'type': 'data', 'value': {'barometer_altitude': -120.0, 'latitude': 40.388569, 'longitude': -87.514183, 'altitude': 188, 'highG_ax': 1.019531, 'highG_ay': -0.058594, 'highG_az': 0.005859, 'battery_voltage': 3.984375, 'cam_battery_voltage': 7.305882, 'FSM_State': 2, 'tilt_angle': 2.769231, 'frequency': 421.149994, 'RSSI': 43.0, 'sat_count': 7, 'kf_velocity': 0.0, 'kf_position': -120.544434, 'is_sustainer': 1, 'roll_rate': 0.0, 'c_valid': 0, 'c_on': 0, 'c_rec': 0, 'vtx_on': 1, 'vmux_stat': 0, 'cam_ack': 0, 'cmd_ack': 0, 'gps_fixtype': 3, 'pyro_a': 3.0, 'pyro_b': 0.022047, 'pyro_c': 0.006299, 'pyro_d': 3.590551}}
data: {'type': 'data', 'value': {'barometer_altitude': -118.0, 'latitude': 40.388508, 'longitude': -87.51416, 'altitude': 180, 'highG_ax': 0.96875, 'highG_ay': -0.056641, 'highG_az': -0.080078, 'battery_voltage': 3.960938, 'cam_battery_voltage': 0.0, 'FSM_State': 2, 'tilt_angle': 3.076923, 'frequency': 425.149994, 'RSSI': 37.5, 'sat_count': 8, 'kf_velocity': -0.030518, 'kf_position': -118.408203, 'is_sustainer': 0, 'roll_rate': 0.0, 'c_valid': 1, 'c_on': 3, 'c_rec': 3, 'vtx_on': 1, 'vmux_stat': 1, 'cam_ack': 1, 'cmd_ack': 0, 'gps_fixtype': 3, 'pyro_a': 3.0, 'pyro_b': 0.025197, 'pyro_c': 0.007874, 'pyro_d': 4.062992}}
data: {'type': 'data', 'value': {'barometer_altitude': -120.0, 'latitude': 40.388569, 'longitude': -87.514183, 'altitude': 188, 'highG_ax': 1.056641, 'highG_ay': -0.009766, 'highG_az': -0.058594, 'battery_voltage': 3.960938, 'cam_battery_voltage': 7.305882, 'FSM_State': 2, 'tilt_angle': 2.725275, 'frequency': 421.149994, 'RSSI': 43.0, 'sat_count': 7, 'kf_velocity': 0.0, 'kf_position': -120.544434, 'is_sustainer': 1, 'roll_rate': 0.0, 'c_valid': 0, 'c_on': 0, 'c_rec': 0, 'vtx_on': 1, 'vmux_stat': 0, 'cam_ack': 0, 'cmd_ack': 0, 'gps_fixtype': 3, 'pyro_a': 3.0, 'pyro_b': 0.022047, 'pyro_c': 0.006299, 'pyro_d': 3.590551}}
data: {'type': 'data', 'value': {'barometer_altitude': -118.0, 'latitude': 40.388508, 'longitude': -87.51416, 'altitude': 180, 'highG_ax': 0.978516, 'highG_ay': -0.050781, 'highG_az': -0.080078, 'battery_voltage': 3.960938, 'cam_battery_voltage': 0.0, 'FSM_State': 2, 'tilt_angle': 3.076923, 'frequency': 425.149994, 'RSSI': 37.5, 'sat_count': 8, 'kf_velocity': -0.030518, 'kf_position': -118.408203, 'is_sustainer': 0, 'roll_rate': 0.0, 'c_valid': 1, 'c_on': 3, 'c_rec': 3, 'vtx_on': 1, 'vmux_stat': 1, 'cam_ack': 1, 'cmd_ack': 0, 'gps_fixtype': 3, 'pyro_a': 3.0, 'pyro_b': 0.025197, 'pyro_c': 0.007874, 'pyro_d': 4.062992}}
data: {'type': 'data', 'value': {'barometer_altitude': -120.0, 'latitude': 40.388569, 'longitude': -87.514183, 'altitude': 188, 'highG_ax': 1.011719, 'highG_ay': -0.025391, 'highG_az': -0.060547, 'battery_voltage': 3.984375, 'cam_battery_voltage': 7.305882, 'FSM_State': 2, 'tilt_angle': 2.769231, 'frequency': 421.149994, 'RSSI': 43.0, 'sat_count': 7, 'kf_velocity': 0.0, 'kf_position': -120.544434, 'is_sustainer': 1, 'roll_rate': 0.0, 'c_valid': 0, 'c_on': 0, 'c_rec': 0, 'vtx_on': 1, 'vmux_stat': 0, 'cam_ack': 0, 'cmd_ack': 0, 'gps_fixtype': 3, 'pyro_a': 3.0, 'pyro_b': 0.022047, 'pyro_c': 0.006299, 'pyro_d': 3.590551}}
data: {'type': 'data', 'value': {'barometer_altitude': -118.0, 'latitude': 40.388508, 'longitude': -87.51416, 'altitude': 180, 'highG_ax': 0.978516, 'highG_ay': -0.011719, 'highG_az': -0.033203, 'battery_voltage': 3.960938, 'cam_battery_voltage': 0.0, 'FSM_State': 2, 'tilt_angle': 3.076923, 'frequency': 425.149994, 'RSSI': 37.5, 'sat_count': 8, 'kf_velocity': -0.030518, 'kf_position': -118.408203, 'is_sustainer': 0, 'roll_rate': 0.0, 'c_valid': 1, 'c_on': 3, 'c_rec': 3, 'vtx_on': 1, 'vmux_stat': 1, 'cam_ack': 1, 'cmd_ack': 0, 'gps_fixtype': 3, 'pyro_a': 3.0, 'pyro_b': 0.025197, 'pyro_c': 0.007874, 'pyro_d': 4.062992}}
data: {'type': 'data', 'value': {'barometer_altitude': -120.0, 'latitude': 40.388569, 'longitude': -87.514183, 'altitude': 188, 'highG_ax': 1.060547, 'highG_ay': -0.037109, 'highG_az': -0.015625, 'battery_voltage': 3.984375, 'cam_battery_voltage': 7.305882, 'FSM_State': 2, 'tilt_angle': 2.769231, 'frequency': 421.149994, 'RSSI': 43.5, 'sat_count': 7, 'kf_velocity': 0.0, 'kf_position': -120.544434, 'is_sustainer': 1, 'roll_rate': 0.0, 'c_valid': 0, 'c_on': 0, 'c_rec': 0, 'vtx_on': 1, 'vmux_stat': 0, 'cam_ack': 0, 'cmd_ack': 0, 'gps_fixtype': 3, 'pyro_a': 3.0, 'pyro_b': 0.022047, 'pyro_c': 0.006299, 'pyro_d': 3.590551}}
data: {'type': 'data', 'value': {'barometer_altitude': -118.0, 'latitude': 40.388508, 'longitude': -87.51416, 'altitude': 180, 'highG_ax': 1.015625, 'highG_ay': -0.039062, 'highG_az': 0.007812, 'battery_voltage': 3.960938, 'cam_battery_voltage': 0.0, 'FSM_State': 2, 'tilt_angle': 3.076923, 'frequency': 425.149994, 'RSSI': 37.0, 'sat_count': 8, 'kf_velocity': -0.030518, 'kf_position': -118.408203, 'is_sustainer': 0, 'roll_rate': 0.0, 'c_valid': 1, 'c_on': 3, 'c_rec': 3, 'vtx_on': 1, 'vmux_stat': 1, 'cam_ack': 1, 'cmd_ack': 0, 'gps_fixtype': 3, 'pyro_a': 3.0, 'pyro_b': 0.025197, 'pyro_c': 0.007874, 'pyro_d': 4.062992}}
data: {'type': 'data', 'value': {'barometer_altitude': -120.0, 'latitude': 40.388569, 'longitude': -87.514183, 'altitude': 188, 'highG_ax': 1.037109, 'highG_ay': -0.003906, 'highG_az': 0.009766, 'battery_voltage': 3.984375, 'cam_battery_voltage': 7.305882, 'FSM_State': 2, 'tilt_angle': 2.725275, 'frequency': 421.149994, 'RSSI': 43.5, 'sat_count': 7, 'kf_velocity': 0.0, 'kf_position': -120.544434, 'is_sustainer': 1, 'roll_rate': 0.0, 'c_valid': 0, 'c_on': 0, 'c_rec': 0, 'vtx_on': 1, 'vmux_stat': 0, 'cam_ack': 0, 'cmd_ack': 0, 'gps_fixtype': 3, 'pyro_a': 3.0, 'pyro_b': 0.023622, 'pyro_c': 0.006299, 'pyro_d': 3.590551}}
data: {'type': 'data', 'value': {'barometer_altitude': -118.0, 'latitude': 40.388508, 'longitude': -87.51416, 'altitude': 180, 'highG_ax': 0.962891, 'highG_ay': -0.029297, 'highG_az': -0.082031, 'battery_voltage': 3.960938, 'cam_battery_voltage': 0.0, 'FSM_State': 2, 'tilt_angle': 3.076923, 'frequency': 425.149994, 'RSSI': 37.5, 'sat_count': 8, 'kf_velocity': -0.030518, 'kf_position': -118.408203, 'is_sustainer': 0, 'roll_rate': 0.0, 'c_valid': 1, 'c_on': 3, 'c_rec': 3, 'vtx_on': 1, 'vmux_stat': 1, 'cam_ack': 1, 'cmd_ack': 0, 'gps_fixtype': 3, 'pyro_a': 3.0, 'pyro_b': 0.025197, 'pyro_c': 0.007874, 'pyro_d': 4.062992}}
